Название,Автор,Год первоначальной публикации,Количество страниц,Прочитана,Жанр,Тэги
Голодные игры,Сьюзен Коллинз,2008,368,0,Роман,"Юношеская литература, Антиутопия, Боевая фантастика, Зарубежная фантастика, Игры на выживание, Постапокалиптика, Сборник рассказов, Социальная фантастика, Экранизации"
Сумерки,Стефани Майер,2005,379,0,Романтическое фэнтези,"Бессмертие, Вампиры, Зарубежное фэнтези, Книги про вампиров, Любовное фэнтези, Любовные испытания, Мистика, Оборотни, Экранизации"
Убить пересмешника,Харпер Ли,1960,288,0,Роман,"Американская классика, Зарубежная классика, Литература 20 века, Расизм, Социальная проза, Становление героя, Экранизации"
Великий гэтсби,Фрэнсис Скотт Фицджеральд,1925,252,1,Роман,"20-е годы, Американская литература, Высшее общество, Жизненные ценности, Зарубежная классика, Классическая проза, Экранизации"
Виноваты звезды,Джон Грин,2012,304,0,Любовный роман,"Юношеская литература, Зарубежные любовные романы, Мировой бестселлер, Романтические истории, Сила любви, Экранизации"
Ангелы и демоны,Дэн Браун,2000,400,0,Роман,"Древние реликвии, Загадочные убийства, Зарубежные детективы, Квест, Тайны прошлого, Тайные общества, Триллеры"
Гордость и предубеждение,Джейн Остин,1813,416,0,Любовный роман,"Английская классика, Вечные сюжеты, Женские истории, Исторические любовные романы, Классические любовные романы, Литература 19 века"
Бегущий за ветром,Халед Хоссейни,2003,331,0,Роман,"Ближний Восток, Жизненные трудности, Мужская дружба, Повороты судьбы, Современная зарубежная литература, Экранизированный бестселлер"
Дивергент, Вероника Рот, 2011, 384, 0,Роман,"Юношеская литература, Антиутопия, Жестокие игры, Зарубежная фантастика, Психологическая фантастика, Социальная фантастика, Становление героя, Эксперименты над людьми"
Братство кольца, Дж.Р.Р.Толкиен, 1954, 400, 0,Фэнтези,"Героическое фэнтези, Зарубежное фэнтези, Квест, Классика фэнтези, Книги про волшебников, Красочные иллюстрации, Спасение мира, Эпическое фэнтези"
Баллада о змеях и певчих птицах, Сьюзен Коллинз, 2020, 500, 0,Роман,"Юношеская литература, Антиутопия, Боевая фантастика, Игры на выживание, Любовно-фантастические романы, Постапокалиптика, Приквел, Социальная фантастика"
Гарри поттер и орден феникса, Дж.К.Роулинг, 2003, 400, 1,Роман,"Юношеская литература, Фэнтези"
Гарри поттер и кубок огня, Дж.К.Роулинг, 1998, 256, 1,Роман,"Юношеская литература, Фэнтези"
Гарри поттер и дары смерти, Дж.К.Роулинг, 2007, 400, 1,Роман,"Юношеская литература, Приключения"
Гарри поттер и принц-полукровка, Дж.К.Роулинг, 2005, 368, 1,Роман,"Юношеская литератур, Фэнтези"
Повелитель мух, Уильям Голдинг, 1954, 256, 0,Роман,"Взросление, Жестокость, Зарубежная классика, Литература 20 века, Робинзонада, Социальная проза, Философская проза"
Исчезнувшая, Гиллиан Флинн, 2012, 384, 0,Роман-триллер,"Бестселлеры, Загадочное исчезновение, Зарубежные детективы, Психологические триллеры, Современные детективы, Тайны прошлого, Триллеры, Экранизации"
Прислуга, Кэтрин Стокетт, 2009, 400, 0,Роман,"Американская литература, Женские судьбы, Расизм, Современная зарубежная литература, Социальная проза, Экранизации"
Мемуары гейши, Артур Голден, 1997, 384, 0,Роман,"Женские судьбы, Жизненные трудности, Исторические любовные романы, Любовные интриги, Экранизации, Япония"
Алхимик, Пауло Коэльо, 1988, 256, 0,Фэнтези,"Мировой бестселлер, Поиски смысла жизни, Современная зарубежная литература, Судьба человека, Тайны мироздания, Философская проза"
Дающий, Лоис Лоури, 1993, 256, 0,Роман,"Юношеская литература, Антиутопия, Близкое будущее, Детская фантастика, Книги для подростков, Социальная фантастика, Становление героя, Философская фантастика, Экранизации"
"Лев, колдунья и платяной шкаф", К.С.Льюис, 1950, 256, 0,Фантастический роман,"Волшебные существа,Детское фэнтези,Зарубежное фэнтези,Книги про волшебников,Магические миры,Пророчества и предсказания,Экранизации"
Жена путешественника во времени, Одри Ниффенеггер, 2003, 400, 0,Любовный роман,"Американская литература, Зарубежная фантастика, История любви, Любовно-фантастические романы, Путешествия во времени, Становление героя, Экранизации"
Игра престолов, Джордж Мартин, 1996, 512, 1,Фэнтези,"Боевое фэнтези, Героическое фэнтези, Драконы, Зарубежное фэнтези, Придворные интриги, Сражения, Экранизации, Эпическое фэнтези"
Перси Джексон и похититель молний, Рик Риордан, 2005, 304, 0,Фэнтези,"Героическое фэнтези, Детское фэнтези, Древние боги, Зарубежное фэнтези, Книги про волшебников, Мифологические сюжеты, Становление героя, Экранизации"
Маленькие женщины, Луиза Мэй Олкотт, 1868, 256, 0,Фэнтези,"Детская проза, Зарубежная классика, Зарубежные детские книги, Литература 19 века, Первая любовь, Романтические отношения, Романы для девочек, Становление героя, Экранизации"
